               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,          
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  , Timestamp
 DSO 1       62,0.778     ,2.38      ,-0.20     ,0.0655    ,          ,          ,          ,          ,  -7572237
 DSO 2       58,          ,          ,          ,          ,0.865     ,0.766     ,0.528     ,0.0187    ,  -7563174
 DSO 1       63,0.111     ,-1.79     ,-3.57     ,0.0595    ,          ,          ,          ,          ,  -7562237
 DSO 2       59,          ,          ,          ,          ,0.964     ,0.647     ,0.825     ,0.0222    ,  -7553174
 DSO 1       64,0.508     ,-0.79     ,1.59      ,0.0536    ,          ,          ,          ,          ,  -7552237
 DSO 2       60,          ,          ,          ,          ,0.706     ,0.369     ,0.865     ,0.0183    ,  -7543174
 DSO 1       65,0.556     ,-4.96     ,1.19      ,0.0476    ,          ,          ,          ,          ,  -7542237
 DSO 2       61,          ,          ,          ,          ,0.865     ,0.587     ,0.984     ,0.0183    ,  -7533174
 DSO 1       66,0.619     ,1.79      ,1.79      ,0.0456    ,          ,          ,          ,          ,  -7532237
 DSO 2       62,          ,          ,          ,          ,0.032     ,-0.147    ,0.468     ,0.0167    ,  -7523174
 DSO 1       67,0.444     ,0.99      ,-0.60     ,0.0734    ,          ,          ,          ,          ,  -7522237
 DSO 2       63,          ,          ,          ,          ,0.329     ,0.171     ,0.052     ,0.0147    ,  -7513174
 DSO 1       68,0.730     ,-0.60     ,0.79      ,0.0556    ,          ,          ,          ,          ,  -7512237
 DSO 2       64,          ,          ,          ,          ,0.528     ,0.250     ,0.726     ,0.0127    ,  -7503174
 DSO 1       69,0.571     ,-1.19     ,-1.59     ,0.0536    ,          ,          ,          ,          ,  -7502237
 DSO 2       65,          ,          ,          ,          ,0.329     ,0.230     ,0.369     ,0.0163    ,  -7493174
 DSO 1       70,0.524     ,0.79      ,-1.19     ,0.0774    ,          ,          ,          ,          ,  -7492237
 DSO 2       66,          ,          ,          ,          ,0.825     ,0.587     ,0.567     ,0.0222    ,  -7483174
 DSO 1       71,0.603     ,-0.20     ,-1.19     ,0.0754    ,          ,          ,          ,          ,  -7482237
 DSO 2       67,          ,          ,          ,          ,0.766     ,0.329     ,0.667     ,0.0226    ,  -7473174
 DSO 1       72,0.444     ,-3.17     ,4.37      ,0.0734    ,          ,          ,          ,          ,  -7472237
 DSO 2       68,          ,          ,          ,          ,0.389     ,0.468     ,0.885     ,0.0202    ,  -7463174
 DSO 1       73,0.635     ,-5.16     ,0.40      ,0.0456    ,          ,          ,          ,          ,  -7462237
 DSO 2       69,          ,          ,          ,          ,0.607     ,0.548     ,0.508     ,0.0187    ,  -7453174
 DSO 1       74,0.587     ,-0.20     ,4.17      ,0.0635    ,          ,          ,          ,          ,  -7452237
 DSO 2       70,          ,          ,          ,          ,0.290     ,0.726     ,0.786     ,0.0214    ,  -7443174
 DSO 1       75,0.460     ,-1.19     ,2.98      ,0.0437    ,          ,          ,          ,          ,  -7442237
 DSO 2       71,          ,          ,          ,          ,0.290     ,0.270     ,0.409     ,0.0135    ,  -7433174
 DSO 1       76,0.476     ,-2.38     ,-1.59     ,0.0774    ,          ,          ,          ,          ,  -7432237
 DSO 2       72,          ,          ,          ,          ,0.409     ,0.131     ,0.567     ,0.0202    ,  -7423174
 DSO 1       77,0.698     ,0.00      ,-0.79     ,0.0615    ,          ,          ,          ,          ,  -7422237
 DSO 2       73,          ,          ,          ,          ,0.171     ,-0.107    ,0.488     ,0.0210    ,  -7413174
 DSO 1       78,0.762     ,-1.59     ,-1.59     ,0.0456    ,          ,          ,          ,          ,  -7412237
 DSO 2       74,          ,          ,          ,          ,0.230     ,0.111     ,0.329     ,0.0163    ,  -7403174
 DSO 1       79,0.714     ,-1.59     ,-2.78     ,0.0675    ,          ,          ,          ,          ,  -7402237
 DSO 2       75,          ,          ,          ,          ,0.389     ,0.687     ,0.667     ,0.0171    ,  -7393174
 DSO 1       80,0.444     ,-0.99     ,0.99      ,0.0556    ,          ,          ,          ,          ,  -7392237
 DSO 2       76,          ,          ,          ,          ,0.587     ,0.230     ,1.123     ,0.0187    ,  -7383174
 DSO 1       81,0.571     ,-4.96     ,1.19      ,0.0536    ,          ,          ,          ,          ,  -7382237
 DSO 2       77,          ,          ,          ,          ,0.369     ,0.726     ,0.825     ,0.0214    ,  -7373174
